"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2012","Colorado","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","6"
"2017","Colorado","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","8"
"2022","Colorado","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","8"
"2012","Colorado","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","5"
"2017","Colorado","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2022","Colorado","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2012","Colorado","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2017","Colorado","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2022","Colorado","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2012","Colorado","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","3"
"2017","Colorado","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","4"
"2022","Colorado","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","4"
"2012","Colorado","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","26"
"2017","Colorado","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","26"
"2022","Colorado","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","27"
"2012","Colorado","Government Organization","GO0018","Total population of county governments","001","State and Local","4,373,149"
"2017","Colorado","Government Organization","GO0018","Total population of county governments","001","State and Local","4,834,192"
"2022","Colorado","Government Organization","GO0018","Total population of county governments","001","State and Local","5,025,281"
"2012","Colorado","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","284,222"
"2017","Colorado","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","243,242"
"2022","Colorado","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","234,849"
"2012","Colorado","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","305,786"
"2017","Colorado","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","318,091"
"2022","Colorado","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","326,957"
"2012","Colorado","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","200,740"
"2017","Colorado","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","255,690"
"2022","Colorado","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","262,833"
"2012","Colorado","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,574,090"
"2017","Colorado","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,306,422"
"2022","Colorado","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,401,102"
"2012","Colorado","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","159,920"
"2017","Colorado","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","169,479"
"2022","Colorado","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","174,138"
"2012","Colorado","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","1,728,809"
"2017","Colorado","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","2,420,064"
"2022","Colorado","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","2,494,488"
"2012","Colorado","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","119,582"
"2017","Colorado","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","121,204"
